Value,Feature,importance
153,Sngl1000bp,0.01727837380011293
186,autoFE_f_0,0.021005081874647093
444,autoFE_f_1,0.050141163184641444
129,autoFE_f_5,0.014568040654997177
153,autoFE_f_6,0.01727837380011293
51,autoFE_f_7,0.005759457933370977
164,autoFE_f_8,0.01852060982495765
411,autoFE_f_9,0.046414455110107285
290,autoFE_f_10,0.03274985883681536
98,autoFE_f_12,0.011067193675889328
306,autoFE_f_16,0.03455674760022586
129,autoFE_f_18,0.014568040654997177
296,autoFE_f_19,0.0334274421230943
143,autoFE_f_26,0.016149068322981366
177,autoFE_f_31,0.019988706945228685
152,autoFE_f_32,0.017165443252399774
186,autoFE_f_33,0.021005081874647093
115,autoFE_f_34,0.012987012987012988
114,autoFE_f_35,0.012874082439299831
88,autoFE_f_40,0.009937888198757764
239,autoFE_f_52,0.026990400903444383
50,autoFE_f_62,0.00564652738565782
125,autoFE_f_63,0.014116318464144552
63,autoFE_f_65,0.0071146245059288534
139,autoFE_f_75,0.01569734613212874
93,autoFE_f_79,0.010502540937323546
116,autoFE_f_92,0.013099943534726143
104,autoFE_f_96,0.011744776962168267
116,autoFE_f_97,0.013099943534726143
71,autoFE_f_100,0.008018068887634105
85,autoFE_f_118,0.009599096555618294
50,autoFE_f_132,0.00564652738565782
134,autoFE_f_137,0.01513269339356296
199,autoFE_f_138,0.022473178994918127
33,autoFE_f_168,0.0037267080745341614
77,autoFE_f_189,0.008695652173913044
78,autoFE_f_200,0.0088085827216262
29,autoFE_f_203,0.0032749858836815357
79,autoFE_f_217,0.008921513269339357
112,autoFE_f_223,0.012648221343873518
21,autoFE_f_258,0.0023715415019762848
64,autoFE_f_276,0.00722755505364201
90,autoFE_f_289,0.010163749294184076
29,autoFE_f_293,0.0032749858836815357
28,autoFE_f_298,0.0031620553359683794
61,autoFE_f_310,0.006888763410502541
45,autoFE_f_333,0.005081874647092038
18,autoFE_f_352,0.0020327498588368154
152,autoFE_f_353,0.017165443252399774
107,autoFE_f_355,0.012083568605307736
32,autoFE_f_388,0.003613777526821005
48,autoFE_f_403,0.005420666290231507
30,autoFE_f_412,0.0033879164313946925
112,autoFE_f_502,0.012648221343873518
116,autoFE_f_568,0.013099943534726143
8,autoFE_f_624,0.0009034443817052513
126,autoFE_f_648,0.014229249011857707
66,autoFE_f_708,0.007453416149068323
28,autoFE_f_732,0.0031620553359683794
66,autoFE_f_747,0.007453416149068323
83,autoFE_f_802,0.009373235460191982
98,autoFE_f_839,0.011067193675889328
52,autoFE_f_910,0.0058723884810841336
48,autoFE_f_914,0.005420666290231507
17,autoFE_f_936,0.0019198193111236589
75,autoFE_f_951,0.00846979107848673
94,autoFE_f_953,0.010615471485036703
43,autoFE_f_1016,0.004856013551665725
61,autoFE_f_1039,0.006888763410502541
73,autoFE_f_1179,0.008243929983060418
44,autoFE_f_1265,0.004968944099378882
106,autoFE_f_1297,0.011970638057594579
27,autoFE_f_1314,0.003049124788255223
122,autoFE_f_1660,0.013777526821005082
42,autoFE_f_1684,0.0047430830039525695
65,autoFE_f_1765,0.007340485601355167
48,autoFE_f_1817,0.005420666290231507
36,autoFE_f_1921,0.004065499717673631
63,autoFE_f_1948,0.0071146245059288534
42,autoFE_f_1956,0.0047430830039525695
43,autoFE_f_2063,0.004856013551665725
15,autoFE_f_2077,0.0016939582156973462
59,autoFE_f_2319,0.006662902315076228
219,autoFE_f_2363,0.024731789949181255
68,autoFE_f_2413,0.0076792772444946355
51,autoFE_f_2501,0.005759457933370977
43,autoFE_f_2526,0.004856013551665725
94,autoFE_f_2548,0.010615471485036703
