Value,Feature,importance
4,Dist2Mutation,0.023952095808383235
14,Freq100bp,0.08383233532934131
18,Rare100bp,0.10778443113772455
13,Sngl100bp,0.07784431137724551
0,Freq1000bp,0.0
1,Rare1000bp,0.005988023952095809
2,Sngl1000bp,0.011976047904191617
0,Freq10000bp,0.0
9,Rare10000bp,0.05389221556886228
0,Sngl10000bp,0.0
4,priPhCons,0.023952095808383235
0,mamPhCons,0.0
1,verPhCons,0.005988023952095809
3,priPhyloP,0.017964071856287425
0,mamPhyloP,0.0
2,verPhyloP,0.011976047904191617
0,bStatistic,0.0
1,ZooPriPhyloP,0.005988023952095809
15,ZooVerPhyloP,0.08982035928143713
3,GC,0.017964071856287425
0,CpG,0.0
6,GerpN,0.03592814371257485
9,GerpS,0.05389221556886228
0,RegSeq0,0.0
0,RegSeq1,0.0
0,RegSeq2,0.0
0,RegSeq3,0.0
0,RegSeq4,0.0
0,RegSeq5,0.0
0,RegSeq6,0.0
0,RegSeq7,0.0
3,gdi,0.017964071856287425
0,gdi_phred,0.0
0,minDistTSS,0.0
0,minDistTSE,0.0
0,HelT6_ref,0.0
0,HelT20_ref,0.0
0,HelT21_ref,0.0
0,HelT25_ref,0.0
0,HelT48_ref,0.0
1,MGW1_ref,0.005988023952095809
0,MGW13_ref,0.0
0,MGW21_ref,0.0
0,MGW23_ref,0.0
0,MGW29_ref,0.0
0,MGW31_ref,0.0
0,MGW46_ref,0.0
0,ProT4_ref,0.0
0,ProT7_ref,0.0
0,ProT10_ref,0.0
0,ProT24_ref,0.0
0,ProT36_ref,0.0
0,Roll7_ref,0.0
0,Roll16_ref,0.0
1,Roll19_ref,0.005988023952095809
2,Roll21_ref,0.011976047904191617
0,Roll22_ref,0.0
0,Roll27_ref,0.0
0,Roll29_ref,0.0
0,HelT27_alt,0.0
0,ProT24_alt,0.0
0,Roll22_alt,0.0
0,Roll27_alt,0.0
0,ProT24_diff,0.0
0,ProT25_diff,0.0
0,Roll23_diff,0.0
0,EffectiveNumberCodon_ref,0.0
0,fickettScore_ref,0.0
0,TATA_alt,0.0
0,GTA(usg)_alt,0.0
0,TAC(usg)_alt,0.0
0,ACT(frac)_alt,0.0
0,GTA(frac)_alt,0.0
0,GGTA_diff,0.0
0,TGCT_diff,0.0
0,ENAC_sw.15.A_ref,0.0
0,ENAC_sw.34.T_ref,0.0
0,ENAC_sw.35.G_ref,0.0
0,ENAC_sw.40.C_ref,0.0
0,ANF_25_ref,0.0
0,MMI_AG_ref,0.0
0,MMI_ACT_ref,0.0
0,Zcurve9_3.z_ref,0.0
0,EIIP_21_ref,0.0
1,EIIP_31_ref,0.005988023952095809
0,DAC_Tilt.lag1_ref,0.0
0,PseDNC_CG_ref,0.0
0,PseDNC_lamada_3_ref,0.0
0,PseKNC_AAC_ref,0.0
0,PseKNC_AAT_ref,0.0
0,PseKNC_CCA_ref,0.0
0,PseKNC_GTG_ref,0.0
0,PseKNC_GTT_ref,0.0
0,PseKNC_TGA_ref,0.0
0,PseKNC_TGC_ref,0.0
0,PCPseTNC_GAG_ref,0.0
3,PCPseTNC_TCC_ref,0.017964071856287425
0,SCPseDNC_GA_ref,0.0
1,SCPseDNC_TT_ref,0.005988023952095809
0,SCPseDNC_lamada_1_ref,0.0
0,SCPseDNC_lamada_9_ref,0.0
0,SCPseTNC_AGC_ref,0.0
0,SCPseTNC_ATC_ref,0.0
0,SCPseTNC_lamada_5_ref,0.0
0,MMI_CT_alt,0.0
0,MMI_AAT_alt,0.0
0,MMI_AGT_alt,0.0
0,MMI_ATT_alt,0.0
0,MMI_TTT_alt,0.0
2,Zcurve9_2.z_alt,0.011976047904191617
1,DAC_Tilt.lag2_alt,0.005988023952095809
2,DAC_Shift.lag1_alt,0.011976047904191617
1,DAC_Slide.lag1_alt,0.005988023952095809
0,DAC_Rise.lag1_alt,0.0
0,PseDNC_AC_alt,0.0
3,PseDNC_GA_alt,0.017964071856287425
2,PseDNC_TA_alt,0.011976047904191617
1,PseDNC_TT_alt,0.005988023952095809
0,PseKNC_GAG_alt,0.0
0,PCPseTNC_CCA_alt,0.0
0,PCPseTNC_CTT_alt,0.0
1,PCPseTNC_GTC_alt,0.005988023952095809
0,SCPseDNC_AC_alt,0.0
0,SCPseDNC_TC_alt,0.0
0,SCPseTNC_ATA_alt,0.0
1,SCPseTNC_GAG_alt,0.005988023952095809
0,SCPseTNC_GGA_alt,0.0
1,SCPseTNC_GGC_alt,0.005988023952095809
1,SCPseTNC_TGG_alt,0.005988023952095809
0,TAA_alt,0.0
0,MMI_CG_diff,0.0
1,MMI_GT_diff,0.005988023952095809
0,MMI_AAT_diff,0.0
0,MMI_ACT_diff,0.0
0,MMI_CCG_diff,0.0
0,MMI_CGT_diff,0.0
0,NMBroto_Shift.lag2_diff,0.0
0,DAC_Twist.lag3_diff,0.0
0,DAC_Rise.lag1_diff,0.0
0,DAC_Rise.lag2_diff,0.0
0,TAC_Bendability (DNAse).lag3_diff,0.0
1,PseDNC_AT_diff,0.005988023952095809
1,PseDNC_CG_diff,0.005988023952095809
0,PseDNC_TA_diff,0.0
0,PseDNC_TC_diff,0.0
0,PseDNC_lamada_1_diff,0.0
0,PseKNC_CCT_diff,0.0
0,PseKNC_CTC_diff,0.0
0,PseKNC_GAA_diff,0.0
1,PseKNC_TCA_diff,0.005988023952095809
0,PseKNC_TGA_diff,0.0
0,PseKNC_TTG_diff,0.0
0,PseKNC_lamada_1_diff,0.0
0,PCPseTNC_GAG_diff,0.0
0,PCPseTNC_GGC_diff,0.0
0,PCPseTNC_TAC_diff,0.0
0,PCPseTNC_TGC_diff,0.0
0,PCPseTNC_lamada_1_diff,0.0
2,SCPseDNC_TA_diff,0.011976047904191617
0,SCPseDNC_TG_diff,0.0
0,SCPseDNC_lamada_1_diff,0.0
0,SCPseDNC_lamada_4_diff,0.0
0,SCPseDNC_lamada_8_diff,0.0
0,SCPseDNC_lamada_10_diff,0.0
0,SCPseDNC_lamada_12_diff,0.0
0,SCPseDNC_lamada_16_diff,0.0
0,SCPseTNC_ACC_diff,0.0
0,SCPseTNC_GAT_diff,0.0
0,SCPseTNC_TAC_diff,0.0
0,SCPseTNC_lamada_3_diff,0.0
15,ACC_diff,0.08982035928143713
1,ACT_diff,0.005988023952095809
0,CCC_diff,0.0
0,CCGR23_ref,0.0
0,CCGR25_ref,0.0
0,CCGR31_ref,0.0
0,CCGR58_ref,0.0
0,CCGR59_ref,0.0
0,CCGR60_ref,0.0
0,CCGR65_ref,0.0
0,CCGR74_ref,0.0
0,CCGR75_ref,0.0
1,CCGR76_ref,0.005988023952095809
0,CCGR90_ref,0.0
0,CCGR95_ref,0.0
0,SCCGR2_ref,0.0
6,CCGR77_alt,0.03592814371257485
0,CCGR79_alt,0.0
0,SCCGR6_alt,0.0
3,CCGR95_diff,0.017964071856287425
2,CCGR100_diff,0.011976047904191617
0,SCCGR2_diff,0.0
0,SCCGR14_diff,0.0
0,SE3_diff,0.0
