Value,Feature,importance,Min,Max,Scaler
6,ZScale_p9.z3,0.10714285714285714,0,0.10714285714285714,1
5,AC_BEGF750101.lag3,0.08928571428571429,0,0.10714285714285714,0.833333333
4,EAAC_SW.7.K,0.07142857142857142,0,0.10714285714285714,0.666666667
4,CTDD_hydrophobicity_PRAM900101.1.residue100,0.07142857142857142,0,0.10714285714285714,0.666666667
4,CTDD_normwaalsvolume.1.residue25,0.07142857142857142,0,0.10714285714285714,0.666666667
4,blosum62_304,0.07142857142857142,0,0.10714285714285714,0.666666667
4,AAindex_p.14.BEGF750103,0.07142857142857142,0,0.10714285714285714,0.666666667
4,AAindex_p.17.ARGP820102,0.07142857142857142,0,0.10714285714285714,0.666666667
3,EAAC_SW.12.C,0.05357142857142857,0,0.10714285714285714,0.5
3,AAindex_p.12.ARGP820101,0.05357142857142857,0,0.10714285714285714,0.5
2,CTDC_secondarystruct.G2,0.03571428571428571,0,0.10714285714285714,0.333333333
2,CTDD_hydrophobicity_PONP930101.1.residue25,0.03571428571428571,0,0.10714285714285714,0.333333333
2,blosum62_195,0.03571428571428571,0,0.10714285714285714,0.333333333
2,AAindex_p.9.BEGF750102,0.03571428571428571,0,0.10714285714285714,0.333333333
2,ZScale_p6.z4,0.03571428571428571,0,0.10714285714285714,0.333333333
2,rsa_11,0.03571428571428571,0,0.10714285714285714,0.333333333
1,CTDD_hydrophobicity_CASG920101.3.residue100,0.017857142857142856,0,0.10714285714285714,0.166666667
1,blosum62_234,0.017857142857142856,0,0.10714285714285714,0.166666667
1,AC_ARGP820101.lag2,0.017857142857142856,0,0.10714285714285714,0.166666667
0,CTDD_polarity.3.residue100,0,0,0.10714285714285714,0
0,KSCTriad_g4.g6.g1.gap2,0,0,0.10714285714285714,0
0,EGAAC_SW9.postivecharger,0,0,0.10714285714285714,0
0,CC_BEGF750103_ANDN920101_lag.3,0,0,0.10714285714285714,0
0,APAAC_Pc2.Hydrophilicity.1,0,0,0.10714285714285714,0
